text,label
"This product is fantastic, I love it!",1
"Terrible quality. Broke on day one.",0
"Decent value for money, would buy again.",1
"Arrived damaged. Very disappointed.",0
"Five stars — exceeded all expectations!",1
"Not as described. Complete waste of money.",0
"Works perfectly right out of the box.",1
"Customer service was unhelpful and rude.",0
"Great build quality. Very impressed.",1
"Stopped working after two weeks. Awful.",0
"Exactly what I needed. Fast delivery too.",1
"Misleading product description. Not happy.",0
"Solid construction and easy to set up.",1
"Poor packaging, item was scratched.",0
"Incredible value. Will buy again.",1
"Constantly freezing. Unusable product.",0
"Intuitive design and very user-friendly.",1
"Instructions are impossible to follow.",0
"Highly recommend to anyone looking for quality.",1
"Completely fell apart after first use.",0
